----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model medium -----
----- Epoch 1 -----
[16:23:32][Step 286] Loss: 2.79 | Was correct: False
[16:23:33][Step 287] Loss: 2.09 | Was correct: False
[16:23:34][Step 288] Loss: 2.57 | Was correct: False
[16:23:35][Step 289] Loss: 2.04 | Was correct: False
[16:23:37][Step 290] Loss: 2.31 | Was correct: False
[16:23:38][Step 291] Loss: 2.29 | Was correct: False
[16:23:39][Step 292] Loss: 2.30 | Was correct: False
[16:23:40][Step 293] Loss: 2.28 | Was correct: False
[16:23:41][Step 294] Loss: 2.26 | Was correct: False
[16:23:42][Step 295] Loss: 1.94 | Was correct: True
[16:23:43][Step 296] Loss: 2.65 | Was correct: False
[16:23:44][Step 297] Loss: 2.63 | Was correct: False
[16:23:45][Step 298] Loss: 2.06 | Was correct: False
[16:23:47][Step 299] Loss: 2.66 | Was correct: False
[16:23:48][Step 300] Loss: 2.50 | Was correct: False
[16:23:49][Step 301] Loss: 1.84 | Was correct: True
[16:23:50][Step 302] Loss: 2.74 | Was correct: False
[16:23:51][Step 303] Loss: 2.68 | Was correct: False
[16:23:52][Step 304] Loss: 2.69 | Was correct: False
[16:23:53][Step 305] Loss: 2.49 | Was correct: False
[16:23:54][Step 306] Loss: 2.28 | Was correct: False
[16:23:56][Step 307] Loss: 2.26 | Was correct: False
[16:23:57][Step 308] Loss: 2.38 | Was correct: False
[16:23:58][Step 309] Loss: 2.26 | Was correct: False
[16:23:59][Step 310] Loss: 2.31 | Was correct: False
[16:24:00][Step 311] Loss: 2.54 | Was correct: False
[16:24:01][Step 312] Loss: 2.36 | Was correct: False
[16:24:02][Step 313] Loss: 2.48 | Was correct: False
[16:24:03][Step 314] Loss: 2.23 | Was correct: False
[16:24:04][Step 315] Loss: 2.27 | Was correct: False
[16:24:06][Step 316] Loss: 2.39 | Was correct: False
[16:24:07][Step 317] Loss: 2.61 | Was correct: False
[16:24:08][Step 318] Loss: 2.08 | Was correct: False
[16:24:09][Step 319] Loss: 2.30 | Was correct: False
[16:24:10][Step 320] Loss: 2.10 | Was correct: False
[16:24:11][Step 321] Loss: 2.46 | Was correct: False
[16:24:12][Step 322] Loss: 2.31 | Was correct: False
[16:24:13][Step 323] Loss: 2.36 | Was correct: False
[16:24:14][Step 324] Loss: 2.26 | Was correct: False
[16:24:16][Step 325] Loss: 2.02 | Was correct: False
[16:24:17][Step 326] Loss: 2.29 | Was correct: False
[16:24:18][Step 327] Loss: 2.54 | Was correct: False
[16:24:19][Step 328] Loss: 2.06 | Was correct: False
[16:24:20][Step 329] Loss: 2.25 | Was correct: False
[16:24:21][Step 330] Loss: 2.00 | Was correct: False
[16:24:22][Step 331] Loss: 2.44 | Was correct: False
[16:24:23][Step 332] Loss: 2.46 | Was correct: False
[16:24:24][Step 333] Loss: 2.66 | Was correct: False
[16:24:25][Step 334] Loss: 2.12 | Was correct: False
