----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model very_small -----
----- Epoch 1 -----
[16:19:20][Step 266] Loss: 1.24 | Was correct: True
[16:19:20][Step 267] Loss: 2.96 | Was correct: False
[16:19:20][Step 268] Loss: 2.58 | Was correct: False
[16:19:21][Step 269] Loss: 2.40 | Was correct: False
[16:19:21][Step 270] Loss: 2.07 | Was correct: False
[16:19:21][Step 271] Loss: 1.79 | Was correct: False
[16:19:21][Step 272] Loss: 1.86 | Was correct: False
[16:19:21][Step 273] Loss: 1.74 | Was correct: False
[16:19:22][Step 274] Loss: 2.39 | Was correct: False
[16:19:22][Step 275] Loss: 3.38 | Was correct: False
[16:19:22][Step 276] Loss: 1.82 | Was correct: False
[16:19:22][Step 277] Loss: 2.35 | Was correct: False
[16:19:23][Step 278] Loss: 2.17 | Was correct: False
[16:19:23][Step 279] Loss: 2.38 | Was correct: False
[16:19:23][Step 280] Loss: 3.00 | Was correct: False
[16:19:23][Step 281] Loss: 1.53 | Was correct: True
[16:19:24][Step 282] Loss: 2.65 | Was correct: False
[16:19:24][Step 283] Loss: 2.29 | Was correct: False
[16:19:24][Step 284] Loss: 1.65 | Was correct: True
[16:19:24][Step 285] Loss: 2.36 | Was correct: False
[16:19:25][Step 286] Loss: 1.41 | Was correct: False
[16:19:25][Step 287] Loss: 2.74 | Was correct: False
[16:19:25][Step 288] Loss: 1.99 | Was correct: False
[16:19:25][Step 289] Loss: 1.27 | Was correct: True
[16:19:26][Step 290] Loss: 2.44 | Was correct: False
[16:19:26][Step 291] Loss: 1.64 | Was correct: False
[16:19:26][Step 292] Loss: 2.44 | Was correct: False
[16:19:26][Step 293] Loss: 1.33 | Was correct: True
[16:19:27][Step 294] Loss: 2.98 | Was correct: False
[16:19:27][Step 295] Loss: 1.50 | Was correct: True
[16:19:27][Step 296] Loss: 2.58 | Was correct: False
[16:19:27][Step 297] Loss: 2.69 | Was correct: False
[16:19:28][Step 298] Loss: 2.21 | Was correct: False
[16:19:28][Step 299] Loss: 1.89 | Was correct: True
[16:19:28][Step 300] Loss: 3.60 | Was correct: False
[16:19:28][Step 301] Loss: 2.49 | Was correct: False
[16:19:29][Step 302] Loss: 2.28 | Was correct: False
[16:19:29][Step 303] Loss: 1.59 | Was correct: True
[16:19:29][Step 304] Loss: 1.28 | Was correct: False
[16:19:29][Step 305] Loss: 2.45 | Was correct: False
[16:19:30][Step 306] Loss: 2.89 | Was correct: False
[16:19:30][Step 307] Loss: 1.98 | Was correct: False
[16:19:30][Step 308] Loss: 1.76 | Was correct: False
[16:19:30][Step 309] Loss: 1.91 | Was correct: False
[16:19:31][Step 310] Loss: 2.31 | Was correct: False
[16:19:31][Step 311] Loss: 2.57 | Was correct: False
[16:19:31][Step 312] Loss: 1.23 | Was correct: True
[16:19:31][Step 313] Loss: 1.83 | Was correct: False
[16:19:32][Step 314] Loss: 2.60 | Was correct: False
[16:19:32][Step 315] Loss: 2.47 | Was correct: False
[16:19:32][Step 316] Loss: 2.45 | Was correct: False
[16:19:32][Step 317] Loss: 2.92 | Was correct: False
[16:19:33][Step 318] Loss: 2.89 | Was correct: False
[16:19:33][Step 319] Loss: 1.38 | Was correct: True
[16:19:33][Step 320] Loss: 0.97 | Was correct: True
[16:19:34][Step 321] Loss: 1.91 | Was correct: False
[16:19:34][Step 322] Loss: 1.75 | Was correct: False
[16:19:34][Step 323] Loss: 1.56 | Was correct: False
[16:19:34][Step 324] Loss: 1.17 | Was correct: True
[16:19:35][Step 325] Loss: 0.71 | Was correct: True
[16:19:35][Step 326] Loss: 2.94 | Was correct: False
[16:19:35][Step 327] Loss: 2.99 | Was correct: False
[16:19:35][Step 328] Loss: 3.80 | Was correct: False
[16:19:35][Step 329] Loss: 2.79 | Was correct: False
[16:19:36][Step 330] Loss: 1.86 | Was correct: False
[16:19:36][Step 331] Loss: 1.41 | Was correct: True
[16:19:36][Step 332] Loss: 2.77 | Was correct: False
[16:19:37][Step 333] Loss: 2.19 | Was correct: False
[16:19:37][Step 334] Loss: 0.92 | Was correct: True
[16:19:37][Step 335] Loss: 2.94 | Was correct: False
[16:19:37][Step 336] Loss: 1.87 | Was correct: False
[16:19:38][Step 337] Loss: 2.19 | Was correct: False
[16:19:38][Step 338] Loss: 1.00 | Was correct: True
[16:19:38][Step 339] Loss: 2.66 | Was correct: False
[16:19:38][Step 340] Loss: 3.67 | Was correct: False
[16:19:38][Step 341] Loss: 2.07 | Was correct: False
[16:19:39][Step 342] Loss: 1.53 | Was correct: True
[16:19:39][Step 343] Loss: 3.09 | Was correct: False
[16:19:39][Step 344] Loss: 2.39 | Was correct: False
[16:19:39][Step 345] Loss: 2.69 | Was correct: False
[16:19:40][Step 346] Loss: 1.73 | Was correct: False
[16:19:40][Step 347] Loss: 1.41 | Was correct: True
[16:19:40][Step 348] Loss: 2.66 | Was correct: False
[16:19:41][Step 349] Loss: 2.97 | Was correct: False
[16:19:41][Step 350] Loss: 2.44 | Was correct: False
[16:19:41][Step 351] Loss: 2.00 | Was correct: False
[16:19:41][Step 352] Loss: 2.82 | Was correct: False
[16:19:42][Step 353] Loss: 2.68 | Was correct: False
[16:19:42][Step 354] Loss: 1.77 | Was correct: True
[16:19:42][Step 355] Loss: 1.83 | Was correct: True
[16:19:42][Step 356] Loss: 2.27 | Was correct: False
[16:19:43][Step 357] Loss: 2.59 | Was correct: False
[16:19:43][Step 358] Loss: 2.31 | Was correct: False
[16:19:43][Step 359] Loss: 1.84 | Was correct: False
[16:19:43][Step 360] Loss: 2.17 | Was correct: False
[16:19:43][Step 361] Loss: 1.59 | Was correct: True
[16:19:44][Step 362] Loss: 3.22 | Was correct: False
[16:19:44][Step 363] Loss: 2.41 | Was correct: False
[16:19:44][Step 364] Loss: 2.38 | Was correct: False
[16:19:44][Step 365] Loss: 1.55 | Was correct: True
[16:19:45][Step 366] Loss: 2.09 | Was correct: False
[16:19:45][Step 367] Loss: 2.68 | Was correct: False
[16:19:45][Step 368] Loss: 2.26 | Was correct: False
[16:19:45][Step 369] Loss: 2.30 | Was correct: False
[16:19:46][Step 370] Loss: 2.51 | Was correct: False
[16:19:46][Step 371] Loss: 2.66 | Was correct: False
[16:19:46][Step 372] Loss: 2.80 | Was correct: False
[16:19:46][Step 373] Loss: 2.56 | Was correct: False
[16:19:47][Step 374] Loss: 0.77 | Was correct: True
[16:19:47][Step 375] Loss: 2.18 | Was correct: False
[16:19:47][Step 376] Loss: 2.34 | Was correct: False
[16:19:47][Step 377] Loss: 1.84 | Was correct: False
[16:19:48][Step 378] Loss: 2.08 | Was correct: False
[16:19:48][Step 379] Loss: 1.65 | Was correct: True
[16:19:48][Step 380] Loss: 1.22 | Was correct: True
[16:19:48][Step 381] Loss: 2.80 | Was correct: False
[16:19:49][Step 382] Loss: 1.84 | Was correct: True
[16:19:49][Step 383] Loss: 2.28 | Was correct: False
[16:19:49][Step 384] Loss: 1.97 | Was correct: False
[16:19:49][Step 385] Loss: 2.89 | Was correct: False
[16:19:50][Step 386] Loss: 2.04 | Was correct: False
[16:19:50][Step 387] Loss: 2.36 | Was correct: False
[16:19:50][Step 388] Loss: 1.87 | Was correct: False
[16:19:50][Step 389] Loss: 3.70 | Was correct: False
[16:19:51][Step 390] Loss: 1.87 | Was correct: True
[16:19:51][Step 391] Loss: 2.51 | Was correct: False
[16:19:51][Step 392] Loss: 1.56 | Was correct: True
[16:19:51][Step 393] Loss: 2.27 | Was correct: False
[16:19:52][Step 394] Loss: 2.54 | Was correct: False
[16:19:52][Step 395] Loss: 2.22 | Was correct: False
[16:19:52][Step 396] Loss: 2.32 | Was correct: False
[16:19:52][Step 397] Loss: 1.89 | Was correct: False
[16:19:53][Step 398] Loss: 2.42 | Was correct: False
[16:19:53][Step 399] Loss: 2.26 | Was correct: False
[16:19:53][Step 400] Loss: 2.32 | Was correct: False
[16:19:53][Step 401] Loss: 2.03 | Was correct: False
[16:19:54][Step 402] Loss: 2.57 | Was correct: False
[16:19:54][Step 403] Loss: 1.91 | Was correct: False
[16:19:54][Step 404] Loss: 2.65 | Was correct: False
[16:19:54][Step 405] Loss: 1.73 | Was correct: False
[16:19:55][Step 406] Loss: 2.06 | Was correct: False
[16:19:55][Step 407] Loss: 2.13 | Was correct: False
[16:19:55][Step 408] Loss: 2.40 | Was correct: False
[16:19:55][Step 409] Loss: 1.59 | Was correct: True
[16:19:56][Step 410] Loss: 2.50 | Was correct: False
[16:19:56][Step 411] Loss: 1.16 | Was correct: True
[16:19:56][Step 412] Loss: 1.51 | Was correct: True
[16:19:56][Step 413] Loss: 2.03 | Was correct: False
[16:19:57][Step 414] Loss: 2.24 | Was correct: False
[16:19:57][Step 415] Loss: 2.20 | Was correct: False
[16:19:57][Step 416] Loss: 1.62 | Was correct: False
[16:19:57][Step 417] Loss: 2.09 | Was correct: False
[16:19:58][Step 418] Loss: 2.48 | Was correct: False
[16:19:58][Step 419] Loss: 1.66 | Was correct: True
[16:19:58][Step 420] Loss: 2.38 | Was correct: False
[16:19:58][Step 421] Loss: 2.95 | Was correct: False
[16:19:59][Step 422] Loss: 2.52 | Was correct: False
[16:19:59][Step 423] Loss: 1.80 | Was correct: False
[16:19:59][Step 424] Loss: 2.46 | Was correct: False
[16:19:59][Step 425] Loss: 2.37 | Was correct: False
