----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model big -----
----- Epoch 1 -----
[16:23:47][Step 217] Loss: 2.52 | Was correct: False
[16:23:49][Step 218] Loss: 2.38 | Was correct: False
[16:23:50][Step 219] Loss: 2.32 | Was correct: False
[16:23:52][Step 220] Loss: 2.40 | Was correct: False
[16:23:53][Step 221] Loss: 2.21 | Was correct: False
[16:23:55][Step 222] Loss: 2.34 | Was correct: False
[16:23:56][Step 223] Loss: 2.16 | Was correct: True
[16:23:58][Step 224] Loss: 2.15 | Was correct: True
[16:23:59][Step 225] Loss: 2.18 | Was correct: False
[16:24:01][Step 226] Loss: 2.29 | Was correct: False
[16:24:02][Step 227] Loss: 2.39 | Was correct: False
[16:24:04][Step 228] Loss: 2.24 | Was correct: False
[16:24:05][Step 229] Loss: 2.34 | Was correct: False
[16:24:07][Step 230] Loss: 2.24 | Was correct: False
[16:24:09][Step 231] Loss: 2.36 | Was correct: False
[16:24:10][Step 232] Loss: 2.30 | Was correct: False
[16:24:12][Step 233] Loss: 2.14 | Was correct: False
[16:24:13][Step 234] Loss: 2.18 | Was correct: True
[16:24:15][Step 235] Loss: 2.38 | Was correct: False
[16:24:16][Step 236] Loss: 2.24 | Was correct: False
[16:24:18][Step 237] Loss: 2.19 | Was correct: True
[16:24:19][Step 238] Loss: 2.30 | Was correct: False
[16:24:21][Step 239] Loss: 2.40 | Was correct: False
[16:24:23][Step 240] Loss: 2.37 | Was correct: False
[16:24:24][Step 241] Loss: 2.35 | Was correct: False
[16:24:26][Step 242] Loss: 2.34 | Was correct: False
[16:24:27][Step 243] Loss: 2.45 | Was correct: False
[16:24:29][Step 244] Loss: 2.29 | Was correct: False
[16:24:30][Step 245] Loss: 2.21 | Was correct: False
[16:24:32][Step 246] Loss: 2.33 | Was correct: False
[16:24:33][Step 247] Loss: 2.36 | Was correct: False
[16:24:35][Step 248] Loss: 2.40 | Was correct: False
[16:24:36][Step 249] Loss: 2.27 | Was correct: False
[16:24:38][Step 250] Loss: 2.12 | Was correct: True
[16:24:39][Step 251] Loss: 2.31 | Was correct: False
[16:24:41][Step 252] Loss: 2.31 | Was correct: False
[16:24:43][Step 253] Loss: 2.54 | Was correct: False
[16:24:44][Step 254] Loss: 2.21 | Was correct: False
[16:24:46][Step 255] Loss: 2.39 | Was correct: False
[16:24:47][Step 256] Loss: 2.27 | Was correct: False
[16:24:49][Step 257] Loss: 2.31 | Was correct: False
[16:24:50][Step 258] Loss: 2.13 | Was correct: False
